campaign,date,spend,impressions,reach,clicks,searches,view_content,add_to_cart,purchase,group,ctr,view_rate,atc_rate,cr,purchase_rate,revenue,revenue_per_session,cpa,roas
Control Campaign,2019-08-01,2280,82702.0,56930.0,7016.0,2290.0,2159.0,1819.0,618.0,Control,0.08483470774588281,0.30772519954389965,0.84251968503937,0.08808437856328392,0.3397471137987905,30900.0,4.404218928164196,3.6893203883495147,13.552631578947368
Control Campaign,2019-08-02,1757,121040.0,102513.0,8110.0,2033.0,1841.0,1219.0,511.0,Control,0.06700264375413087,0.22700369913686808,0.6621401412275937,0.06300863131935881,0.4191960623461854,25550.0,3.1504315659679407,3.4383561643835616,14.541832669322709
Control Campaign,2019-08-03,2343,131711.0,110862.0,6508.0,1737.0,1549.0,1134.0,372.0,Control,0.049411210908731996,0.23801475107559927,0.7320852162685604,0.05716041794714198,0.328042328042328,18600.0,2.858020897357099,6.298387096774194,7.9385403329065305
Control Campaign,2019-08-04,1940,72878.0,61235.0,3065.0,1042.0,982.0,1183.0,340.0,Control,0.042056587721946266,0.32039151712887437,1.204684317718941,0.11092985318107668,0.2874049027895182,17000.0,5.5464926590538335,5.705882352941177,8.762886597938145
Control Campaign,2019-08-05,1835,72878.0,61235.0,3065.0,1042.0,982.0,1183.0,340.0,Control,0.042056587721946266,0.32039151712887437,1.204684317718941,0.11092985318107668,0.2874049027895182,17000.0,5.5464926590538335,5.397058823529412,9.264305177111716
Control Campaign,2019-08-06,3083,109076.0,87998.0,4028.0,1709.0,1249.0,784.0,764.0,Control,0.0369283802119623,0.3100794438927508,0.6277021617293835,0.18967229394240318,0.9744897959183674,38200.0,9.483614697120158,4.035340314136126,12.390528705806034
Control Campaign,2019-08-07,2544,142123.0,127852.0,2640.0,1388.0,1106.0,1166.0,499.0,Control,0.018575459285266986,0.41893939393939394,1.054249547920434,0.18901515151515152,0.427958833619211,24950.0,9.450757575757576,5.098196392785571,9.807389937106919
Control Campaign,2019-08-08,1900,90939.0,65217.0,7260.0,3047.0,2746.0,930.0,462.0,Control,0.07983373470128327,0.378236914600551,0.33867443554260745,0.06363636363636363,0.4967741935483871,23100.0,3.1818181818181817,4.112554112554113,12.157894736842104
Control Campaign,2019-08-09,2813,121332.0,94896.0,6198.0,2487.0,2179.0,645.0,501.0,Control,0.051082978933834434,0.3515650209745079,0.29600734281780633,0.0808325266214908,0.7767441860465116,25050.0,4.04162633107454,5.614770459081837,8.905083540703874
Control Campaign,2019-08-10,2149,117624.0,91257.0,2277.0,2475.0,1984.0,1629.0,734.0,Control,0.019358294225668232,0.8713219148001756,0.8210685483870968,0.32235397452788755,0.45058317986494784,36700.0,16.11769872639438,2.9277929155313354,17.077710563052584
Control Campaign,2019-08-11,2490,115247.0,95843.0,8137.0,2941.0,2486.0,1887.0,475.0,Control,0.07060487474728193,0.30551800417844416,0.7590506838294448,0.058375322600467,0.25172231054583993,23750.0,2.91876613002335,5.242105263157895,9.538152610441767
Control Campaign,2019-08-12,2319,116639.0,100189.0,2993.0,1397.0,1147.0,1439.0,794.0,Control,0.025660370887953428,0.38322753090544603,1.2545771578029643,0.2652856665552957,0.551772063933287,39700.0,13.264283327764785,2.920654911838791,17.11944803794739
Control Campaign,2019-08-13,2697,82847.0,68214.0,6554.0,2390.0,1975.0,1794.0,766.0,Control,0.07910968411650392,0.30134269148611537,0.9083544303797468,0.11687519072322246,0.4269788182831661,38300.0,5.843759536161123,3.52088772845953,14.200964034111976
Control Campaign,2019-08-14,1875,145248.0,118632.0,4521.0,1209.0,1149.0,1339.0,788.0,Control,0.031126074025115663,0.2541473125414731,1.165361183637946,0.17429772174297722,0.5884988797610157,39400.0,8.71488608714886,2.3794416243654823,21.013333333333332
Control Campaign,2019-08-15,2774,132845.0,102479.0,4896.0,1179.0,1005.0,1641.0,366.0,Control,0.03685498136926493,0.20526960784313725,1.6328358208955225,0.07475490196078431,0.2230347349177331,18300.0,3.7377450980392157,7.579234972677596,6.596971881759193
Control Campaign,2019-08-16,2024,71274.0,42859.0,5224.0,2427.0,2158.0,1613.0,438.0,Control,0.07329460953503382,0.41309341500765695,0.747451343836886,0.08384379785604901,0.27154370737755734,21900.0,4.192189892802451,4.621004566210046,10.820158102766799
