,,Control,Test
spend,count,30.0,30.0
spend,mean,2288.4333333333334,2563.0666666666666
spend,std,367.3344509443332,348.68768095614547
spend,min,1757.0,1968.0
spend,25%,1945.5,2324.5
spend,50%,2299.5,2584.0
spend,75%,2532.0,2836.25
spend,max,3083.0,3112.0
impressions,count,30.0,30.0
impressions,mean,108337.03333333334,74584.8
impressions,std,22339.204949090537,32121.3774218333
impressions,min,71274.0,22521.0
impressions,25%,91211.5,47541.25
impressions,50%,112368.0,68853.5
impressions,75%,121259.0,99500.0
impressions,max,145248.0,133771.0
clicks,count,30.0,30.0
clicks,mean,5245.6,6032.333333333333
clicks,std,1775.238354078996,1708.5672629293886
clicks,min,2277.0,3038.0
clicks,25%,4042.25,4407.0
clicks,50%,5082.5,6242.5
clicks,75%,6609.5,7604.75
clicks,max,8137.0,8264.0
view_content,count,30.0,30.0
view_content,mean,1911.7333333333333,1858.0
view_content,std,783.9415413344831,597.6546690592118
view_content,min,848.0,858.0
view_content,25%,1174.0,1320.0
view_content,50%,1979.5,1881.0
view_content,75%,2360.5,2412.0
view_content,max,4219.0,2801.0
add_to_cart,count,30.0,30.0
add_to_cart,mean,1296.1,881.5333333333333
add_to_cart,std,400.9406482863466,347.584247622648
add_to_cart,min,442.0,278.0
add_to_cart,25%,942.5,582.5
add_to_cart,50%,1279.0,974.0
add_to_cart,75%,1638.0,1148.5
add_to_cart,max,1913.0,1391.0
purchase,count,30.0,30.0
purchase,mean,516.7,521.2333333333333
purchase,std,184.84814830296375,211.0477447752348
purchase,min,222.0,238.0
purchase,25%,367.5,298.0
purchase,50%,500.0,500.0
purchase,75%,663.25,701.0
purchase,max,800.0,890.0
ctr,count,30.0,30.0
ctr,mean,0.05066197162945822,0.10242259642726075
ctr,std,0.020216447409261807,0.06770897225731778
ctr,min,0.018575459285266986,0.02982351380042463
ctr,25%,0.03635337920724624,0.053130170611314725
ctr,50%,0.045792343604664755,0.08035887147121737
ctr,75%,0.0669713609736773,0.12849262191121982
ctr,max,0.0883091199513197,0.3382176635140535
view_rate,count,30.0,30.0
view_rate,mean,0.3800405169397573,0.3272532193905494
view_rate,std,0.14620179199862363,0.13283869514398863
view_rate,min,0.20526960784313725,0.14329594017094016
view_rate,25%,0.28385558096839514,0.2577388730888398
view_rate,50%,0.3246643388592394,0.3273269930275157
view_rate,75%,0.4381030802228859,0.36705533780136546
view_rate,max,0.8713219148001756,0.7093993325917687
atc_rate,count,30.0,30.0
atc_rate,mean,0.792081214570309,0.5150957903357137
atc_rate,std,0.41174462499969144,0.24502628529874823
atc_rate,min,0.2740963855421687,0.13473423980222496
atc_rate,25%,0.45827329316592913,0.32606468496888485
atc_rate,50%,0.7532510138331654,0.5085395241674819
atc_rate,75%,1.0400344194259652,0.6770542852673344
atc_rate,max,2.015330188679245,1.1142191142191142
cr,count,30.0,30.0
cr,mean,0.11464395963140898,0.09231181703283602
cr,std,0.06719700478672878,0.044489869584820825
cr,min,0.03349426674713337,0.03008849557522124
cr,25%,0.06316556439861001,0.06568272134193757
cr,50%,0.10660219396766574,0.08454290564775388
cr,75%,0.1436806315768452,0.11668360709058384
cr,max,0.32235397452788755,0.21085050935797203
revenue_per_session,count,30.0,30.0
revenue_per_session,mean,5.732197981570449,4.6155908516418
revenue_per_session,std,3.3598502393364393,2.224493479241042
revenue_per_session,min,1.6747133373566687,1.5044247787610618
revenue_per_session,25%,3.158278219930501,3.2841360670968784
revenue_per_session,50%,5.330109698383287,4.227145282387694
revenue_per_session,75%,7.1840315788422595,5.834180354529192
revenue_per_session,max,16.11769872639438,10.542525467898603
