weekday,group,cr,rps,n
Monday,Control,0.14216174946712612,7.108087473356306,4
Monday,Test,0.089587094826363,4.47935474131815,4
Tuesday,Control,0.13624342870046735,6.812171435023368,4
Tuesday,Test,0.10323487148275731,5.161743574137866,4
Wednesday,Control,0.1515400605780388,7.577003028901939,4
Wednesday,Test,0.1073281324729565,5.366406623647825,4
Thursday,Control,0.06482547261230016,3.241273630615008,5
Thursday,Test,0.07488328332970413,3.744164166485207,5
Friday,Control,0.10904393164847075,5.452196582423537,5
Friday,Test,0.10849952807792254,5.424976403896126,5
Saturday,Control,0.13905387839183203,6.952693919591603,4
Saturday,Test,0.043707305892452995,2.1853652946226494,4
Sunday,Control,0.07349382477213941,3.6746912386069708,4
Sunday,Test,0.11925270881220687,5.9626354406103435,4
